lat,lon,ele,time,deltaDistMeters,deltaTimeSeconds,deltaElevationMeters,cumTime,velocityKmPerHour,min,max,cumElevation,cumDistance,elevationGradients,gradientRange
41.006071,28.639098,171.9,2021-10-22 20:51:00,1.4391161396572134,1.0,0.09999999999999432,16237.0,5.1808181027659685,,,-25.90000000000049,38712.17730483323,6.9,"(5, 10]"
41.00608,28.639107,171.9,2021-10-22 20:51:01,1.2551390074288233,1.0,0.0,16238.0,4.518500426743764,,,-25.90000000000049,38713.43244384066,0.0,"(-1, 1]"
41.006091,28.639124,172.0,2021-10-22 20:51:03,1.8812009702510235,2.0,0.09999999999999432,16240.0,3.3861617464518425,,,-25.800000000000495,38715.313644810914,5.3,"(5, 10]"
41.006096,28.639137,172.0,2021-10-22 20:51:04,1.2257399610171338,1.0,0.0,16241.0,4.412663859661682,,,-25.800000000000495,38716.53938477193,0.0,"(-1, 1]"
41.006114,28.639152,172.1,2021-10-22 20:51:06,2.367033616253862,2.0,0.09999999999999432,16243.0,4.260660509256952,,,-25.7000000000005,38718.906418388186,4.2,"(3, 5]"
41.006141,28.639159,172.3,2021-10-22 20:51:08,3.062610517172945,2.0,0.20000000000001705,16245.0,5.512698930911301,,,-25.500000000000483,38721.96902890536,6.5,"(5, 10]"
41.006151,28.639167,172.3,2021-10-22 20:51:09,1.3003276408155462,1.0,0.0,16246.0,4.681179506935966,,,-25.500000000000483,38723.269356546174,0.0,"(-1, 1]"
41.006173,28.639157,172.4,2021-10-22 20:51:11,2.5891008816211425,2.0,0.09999999999999432,16248.0,4.6603815869180565,,,-25.40000000000049,38725.85845742779,3.9,"(3, 5]"
41.0062,28.639147,172.5,2021-10-22 20:51:13,3.1208155938562876,2.0,0.09999999999999432,16250.0,5.617468068941318,,,-25.300000000000495,38728.97927302165,3.2,"(3, 5]"
41.006223,28.639142,172.6,2021-10-22 20:51:14,2.5945728792103484,1.0,0.09999999999999432,16251.0,9.340462365157254,,,-25.2000000000005,38731.573845900864,3.9,"(3, 5]"
41.00625,28.639141,172.7,2021-10-22 20:51:16,3.0067999866370116,2.0,0.09999999999999432,16253.0,5.412239975946621,,,-25.100000000000506,38734.5806458875,3.3,"(3, 5]"
41.006284,28.639155,172.9,2021-10-22 20:51:17,3.963376812409534,1.0,0.20000000000001705,16254.0,14.268156524674323,,,-24.90000000000049,38738.54402269991,5.0,"(3, 5]"
41.006294,28.639157,172.9,2021-10-22 20:51:18,1.125802312232713,1.0,0.0,16255.0,4.052888324037767,,,-24.90000000000049,38739.66982501215,0.0,"(-1, 1]"
41.006309,28.639174,173.0,2021-10-22 20:51:19,2.197197019190166,1.0,0.09999999999999432,16256.0,7.909909269084598,,,-24.800000000000495,38741.867022031336,4.6,"(3, 5]"
41.006348,28.639199,173.2,2021-10-22 20:51:21,4.8227468496297075,2.0,0.19999999999998863,16258.0,8.680944329333474,,,-24.600000000000506,38746.68976888096,4.1,"(3, 5]"
41.006367,28.639211,173.2,2021-10-22 20:51:22,2.3430165087654364,1.0,0.0,16259.0,8.434859431555571,,,-24.600000000000506,38749.032785389725,0.0,"(-1, 1]"
41.006407,28.63924,173.4,2021-10-22 20:51:24,5.07564322068963,2.0,0.20000000000001705,16261.0,9.136157797241333,,,-24.40000000000049,38754.108428610416,3.9,"(3, 5]"
41.006447,28.639257,173.5,2021-10-22 20:51:26,4.676185078214743,2.0,0.09999999999999432,16263.0,8.417133140786538,,,-24.300000000000495,38758.78461368863,2.1,"(1, 3]"
41.00648,28.639272,173.7,2021-10-22 20:51:28,3.8836494534371884,2.0,0.19999999999998863,16265.0,6.99056901618694,,,-24.100000000000506,38762.66826314207,5.1,"(5, 10]"
41.006508,28.63929,173.7,2021-10-22 20:51:29,3.4643614159126828,1.0,0.0,16266.0,12.471701097285658,,,-24.100000000000506,38766.132624557984,0.0,"(-1, 1]"
41.006534,28.639306,173.8,2021-10-22 20:51:30,3.1911733497363373,1.0,0.10000000000002274,16267.0,11.488224059050815,,,-24.000000000000483,38769.32379790772,3.1,"(3, 5]"
41.006575,28.63933,174.0,2021-10-22 20:51:32,4.9895683209969235,2.0,0.19999999999998863,16269.0,8.981222977794463,,,-23.800000000000495,38774.313366228715,4.0,"(3, 5]"
